clean_text,sentiment
id responded going,neutral
sooo sad miss san diego,negative
bos bullying,negative
interview leave alone,negative
son couldnt put release already bought,negative
shameless plugging best ranger forum earth,neutral
feeding baby fun smile coo,positive
soooo high,neutral
,neutral
journey wow u became cooler hehe possible,positive
much love hopeful reckon chance minimal p im never gon na get cake stuff,neutral
really really like song love story taylor swift,positive
sharpie running dangerously low ink,negative
want go music tonight but lost voice,negative
test test lg env,neutral
uh oh sunburned,negative
sok trying plot alternative speak sigh,negative
ive sick past day thus hair look wierd didnt hat would look,negative
back home gon na miss every one,negative
he not,neutral
oh marly im sorry hope find soon,neutral
playing ghost online really interesting new update kirin pet metamorph third job cant wait dragon pet,positive
cleaning house family comming later today,neutral
got ta restart computer thought win supposed put end constant rebootiness,neutral
see wat mean bout follw friidays called lose fllowers friday smh,neutral
free fillin app ipod fun im addicted,positive
im sorry,negative
way malaysiano internet access twit,negative
juss came backk berkeleyy omg madd fun havent minute whassqoodd,positive
went sleep power cut noida power back not working,negative
im going home seen new twitter design quiteheavenly,positive
hope unni make audition fighting dahye unni,positive
consolation got bmi tested hahaha say obesed well much unhappy minute,negative
thats funny cute kid,positive
ahhh slept game im gon na try best watch tomorrow though hope play army,neutral
thats end tear fear v eric prydz dj hero,neutral
born raised nyc living texas past year still miss ny,negative
case wonder really busy today coming adding ton new blog update stay tuned,neutral
im soooooo sleeeeepy last day school todaysniffle,negative
little happy wine jeje ok itsm free time care jaja love day,positive
car not happy big big dent boot hoping theyre not going write crossing finger waiting,neutral
im avid fan magazine love magazine,positive
mayday,neutral
ratt rocked nashville toniteone thing sucked no encore like still fun show pearcy hott bad boy look,neutral
love but im only available pm dear would love help convert vids,positive
girl hair salon asked shall trim eyebrow old feel,neutral
egh blah boooooooooooo dunno wan na go work hangover suckkkkkk im drunk mess,negative
visiting friendster facebook,neutral
donbt like peel prawn also dont like going shopping running money crawling round car looking,negative
case got new one last week im not thrilled mine,negative
check connect tweeple hate twitter,neutral
also bored school third freelesson freistunde,neutral
hm u guess,neutral
u dissappointed past day,negative
romance zero funny,positive
id rather early runbut morning runner,neutral
bah coworker ran work late bag smacked knee really hurt,negative
back later,neutral
aw torn ace heart,negative
fun speaking,neutral
lost friend im alone sleepyi wan na go home,negative
haha yes,neutral
give easily,negative
better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive
mannnn got iphone im jealous,negative
photoshoot,neutral
he awesome worked he good friend,positive
yay playing show tonight boo gon na soggy im work right playing,neutral
chilliin,positive
know agent let know,neutral
still smell smoke,neutral
celticslakers rematch sound better dont think lol,positive
anyone extra keane ticket promise buy drink take rad pic fb blog flickr etc,neutral
ride one catch one but not summer til pop open one,neutral
good gorjuz yea kno asked yesterday tha hospital talked u said no,neutral
ok im popped say hi check thing ill probably head guttah later tonight,neutral
wow really missin family today baddd,negative
source say no,neutral
sooo tired,negative
hey change twitter account didnt even tell,neutral
thank yyyyyyyyyoooooooooouuuuu,positive
lucky kidi wan na see loserville pity im oz,positive
fell asleep waiting ride,neutral
sick flu like thing,negative
still no reply simfinger problem no irape parody video get response sorry guy,negative
happy star war day everyone enjoy holiday uk,positive
mile im essex give plenty warning arrive time get least one free beer,neutral
snoring annoying n keep sleeping like right lol but honestly wud miss eva left love,neutral
miss bby wish going tomorrow make good,negative
well im working isnt quite ready post publicly still beta testing but cool new script coded,positive
sweeeeet san fran awesome love,positive
mounce yes last way past bedtime,neutral
hi joined twitter,neutral
waiting sleeping pill kick gon na tired work tomorrow,negative
eating ice cream getting ready graduation,neutral
happy mother day mum,positive
caseys gone but piddled little carpet shes prolly freaked cause new get back,negative
